n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
1,22625,5250,1834,6458
11,18167,4583,1166,4667
21,19583,4583,1209,4458
31,16750,4667,1208,4334
41,14250,3417,958,4041
51,13583,3541,833,3708
61,13917,3708,958,4125
71,13792,3625,1000,3833
81,16458,3708,1000,3959
91,15833,3542,875,3875
101,11792,3083,792,3166
111,11875,2958,750,2958
121,11709,3000,708,3042
131,10667,3166,792,5792
141,9916,2750,666,2750
151,10083,2500,667,2958
161,10042,2750,708,2750
171,8750,2625,666,4834
181,10167,2667,709,2875
191,10208,2542,667,2875
201,9458,2625,709,4958
211,9167,2542,666,4666
221,9208,2750,708,7125
231,10375,2542,667,2708
241,10042,2542,667,2708
251,12875,2542,583,2833
261,10167,2708,625,2708
271,10084,2750,667,2666
281,9375,2792,709,4833
291,9167,2667,666,4417
301,9500,2625,625,6709
311,9209,2708,667,4875
321,10334,2625,708,3000
331,8708,2708,750,4584
341,9375,2667,792,6917
351,9792,2583,625,2792
361,9875,2792,709,2875
371,11667,2625,708,2750
381,10292,2625,708,2750
391,9750,2500,709,2917
401,10208,2708,709,3166
411,10291,2834,666,3000
421,9041,2541,667,4792
431,9958,2792,708,6875
441,11250,2500,666,2625
451,10166,2541,750,4083
461,10666,2750,625,3083
471,9167,2541,666,5209
481,10042,2583,708,2750
491,13667,2625,625,4750
501,8958,2500,667,6291
511,9166,2500,625,4750
521,10167,2750,667,2833
531,9708,2667,709,6750
541,9625,2791,667,7125
551,9208,2667,625,8458
561,11125,2666,667,2916
571,10000,2666,667,2708
581,9292,2625,666,6458
591,10083,2833,750,2709
601,9917,2458,584,2834
611,12000,2792,667,2625
621,9334,3167,750,7458
631,9041,2542,625,4792
641,9458,2708,708,5125
651,10250,2542,625,2584
661,9500,2792,750,4666
671,9209,2625,708,6875
681,9459,2708,834,4583
691,9125,2750,667,4916
701,8500,2708,708,12166
711,11875,2500,709,4875
721,9250,2625,667,8708
731,9584,2666,625,8542
741,8958,2917,708,8167
751,9333,2875,667,4541
761,9458,2708,708,7125
771,9125,2542,667,5042
781,8958,2625,667,8833
791,9333,2709,708,6625
801,19916,2584,708,4583
811,9916,2500,625,2708
821,9083,2667,625,6958
831,9875,2666,667,2667
841,9250,2666,625,4916
851,9416,2625,666,8375
861,8541,2500,667,4375
871,9459,2792,833,5000
881,9333,2750,750,4666
891,21834,2750,666,4708
901,8916,2625,708,6500
911,9458,2667,667,4917
921,9292,2541,709,4333
931,9583,2833,667,4875
941,10334,2833,708,2959
951,9750,2708,667,7042
961,9458,2750,625,7542
971,9125,2833,750,11667
981,11792,2625,708,2917
991,8542,2583,625,4750
1001,9541,2667,625,4625
1011,9250,2583,667,8084
1021,8542,2792,708,8042
1031,9166,2708,750,10416
1041,11875,2625,791,4125
1051,10250,2750,875,4334
1061,10667,3000,708,3542
1071,9208,2750,791,9084
1081,9084,2500,750,5417
1091,10458,2583,750,2792
1101,9417,2708,667,4750
1111,9125,2709,875,6916
1121,9625,2625,792,12167
1131,9125,2625,750,5334
1141,12041,2625,625,3000
1151,9292,2750,667,4666
1161,9292,2667,667,6792
1171,9292,2583,709,8250
1181,9583,2792,750,6959
1191,9625,2875,1083,6292
1201,9792,3042,1041,6750
1211,10084,2750,750,4208
1221,9209,2750,875,9791
1231,9583,2875,792,8375
1241,9375,2833,750,10958
1251,9250,2833,750,7666
1261,9333,2709,791,12042
1271,9333,2709,667,5125
1281,9250,2708,750,7125
1291,9417,2708,667,5667
1301,8833,2625,750,13250
1311,9167,2875,875,10333
1321,11084,3417,1250,7625
1331,10500,3250,916,8417
1341,10541,3167,917,11042
1351,15792,3167,958,3875
1361,10459,2917,875,7000
1371,9291,2708,833,5500
